dataset,split,model,seed,train_accuracy,train_f1,train_mcc,train_auprc,train_auroc,valid_accuracy,valid_f1,valid_mcc,valid_auprc,valid_auroc,test_accuracy,test_f1,test_mcc,test_auprc,test_auroc,train_brier,train_nll,train_ece,valid_brier,valid_nll,valid_ece,test_brier,test_nll,test_ece,train_mae,train_rmse,train_r2,valid_mae,valid_rmse,valid_r2,test_mae,test_rmse,test_r2,best_epoch,train_loss,train_runtime,train_samples_per_second,train_steps_per_second,train_epoch,valid_loss,valid_runtime,valid_samples_per_second,valid_steps_per_second,valid_epoch,test_loss,test_runtime,test_samples_per_second,test_steps_per_second,test_epoch
Tox21_SR-p53,scaffold,random_forest,123,0.9988927846466138,0.989010989010989,0.9884942725254788,0.9992320103909736,0.9999647540335052,0.8906942392909897,0.0512820512820512,0.1530712227045727,0.3443035995922578,0.7580786408617216,0.8938053097345132,0.1219512195121951,0.2408071309841123,0.3725728533617976,0.7453918793353069,0.0053292618660329,0.0310552313053493,0.0266117408244956,0.0910658798999866,0.3160066347323494,0.0407248192659225,0.0884574663814952,0.3128628996829518,0.0307830525845916,,,,,,,,,,,,,,,,,,,,,,,,,
Tox21_SR-p53,scaffold,random_forest,3407,0.9988927846466138,0.989010989010989,0.9884942725254788,0.9998364597364784,0.999993526251052,0.8921713441654358,0.0759493670886076,0.1876122184880383,0.3339377582077308,0.7553748139066467,0.8938053097345132,0.1219512195121951,0.2408071309841123,0.3693522949185187,0.7424638589364045,0.0052937546625816,0.0310267316499991,0.0269394784450609,0.090813362626199,0.3150621557518605,0.0396139163645597,0.0883438322519436,0.3119749655282973,0.0312822167474803,,,,,,,,,,,,,,,,,,,,,,,,,
Tox21_SR-p53,scaffold,random_forest,9999,0.9988927846466138,0.989010989010989,0.9884942725254788,0.9999057672809686,0.9999971227782454,0.8921713441654358,0.0759493670886076,0.1876122184880383,0.3499191219048542,0.7460044662404764,0.8938053097345132,0.1219512195121951,0.2408071309841123,0.3833027441205272,0.741653521187631,0.0053466356119045,0.0309098533437543,0.0269967893986115,0.0907730057393934,0.3157345457650186,0.0367697047991744,0.0881482341763199,0.3107857803261704,0.034410293756239,,,,,,,,,,,,,,,,,,,,,,,,,
Tox21_SR-p53,scaffold,random_forest,2024,0.9988927846466138,0.989010989010989,0.9884942725254788,0.9998223784071004,0.9999928069456132,0.8921713441654358,0.0759493670886076,0.1876122184880383,0.3472130802243064,0.7578378141693669,0.8938053097345132,0.1219512195121951,0.2408071309841123,0.3771498268594582,0.7423450093999179,0.0053362342598061,0.0310957655297819,0.0266701648883796,0.0903992706485931,0.3124491005932316,0.0378053104841443,0.0883048534094754,0.311147636237585,0.0315356695037207,,,,,,,,,,,,,,,,,,,,,,,,,
Tox21_SR-p53,random,xgboost,42,0.9721350802731132,0.7145557655954632,0.7337604876433759,0.928674426724972,0.9898505911318608,0.948301329394387,0.1860465116279069,0.2214058511021842,0.3086841923675029,0.7804850912327547,0.9292035398230089,0.2258064516129032,0.2517272780207767,0.395607374143251,0.831413646539697,0.0201906557534975,0.0804623924115825,0.0378587163863097,0.0429659584040403,0.1703414607898743,0.0146100076556513,0.0556930391156138,0.2051755132180301,0.025463481947428,,,,,,,,,,,,,,,,,,,,,,,,,
Tox21_SR-p53,random,random_forest,42,0.999815464107769,0.998522895125554,0.998425719023062,0.9999571242368114,0.9999985483009316,0.948301329394387,0.054054054054054,0.1102098142998617,0.3198177314599702,0.8542278593680463,0.9321533923303836,0.2068965517241379,0.2662501611088947,0.4179751137579418,0.8373187112682912,0.0065470729877781,0.038657519548714,0.0343214421998184,0.0419664734459788,0.1571468049674576,0.0181852050214316,0.0536426393612429,0.1983215247775784,0.0144106754555454,,,,,,,,,,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,xgboost,42,,,,,,,,,,,,,,,,,,,,,,,,,0.3113484965808179,0.4052468845094726,0.8873864898334568,0.7095579539533882,0.91484364586492,0.3946765643427691,0.6811525605635806,0.8842659146496404,0.4469857201747714,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,xgboost,123,,,,,,,,,,,,,,,,,,,,,,,,,0.3092194604096308,0.4013745253048743,0.8895283765994942,0.7159351871155558,0.9225898409848592,0.3843823360398185,0.6837955421695396,0.8840521162231412,0.4472531041994202,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,xgboost,3407,,,,,,,,,,,,,,,,,,,,,,,,,0.3107683618531639,0.4028338547430672,0.8887236042178213,0.7203667358952974,0.9237806186314969,0.3827921671486692,0.6846121742484115,0.8870918566887531,0.4434454197824776,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,xgboost,9999,,,,,,,,,,,,,,,,,,,,,,,,,0.3124588214127303,0.4056924896366767,0.887138696457255,0.7143996684778305,0.917259240586883,0.3914756970606384,0.6947917351296969,0.8994164404313929,0.4278732950504822,,,,,,,,,,,,,,,,
